, revenue,Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,original language,run budget,run time,vote average,vote_count,sentiment_score
72,240239,FALSE,[99],24582,Manufactured Landscapes,2.592172,9/9/2006,en,0,90,7.3,15,0.10806
73,80640528,FALSE,"[35, 18, 10749]",2039,Moonstruck,8.996911,12/18/1987,en,0,102,6.7,195,0.29926
74,850000000,FALSE,"[878, 12, 28]",1895,Star Wars: Episode III - Revenge of the Sith,12.64329,5/17/2005,en,113000000,140,7.1,4522,0.094375
75,251058,FALSE,[35],75386,Haiku Tunnel,1.076985,9/7/2001,en,0,88,7,2,-0.089245455
76,13818181,FALSE,"[27, 28, 53]",11059,House of the Dead,6.299035,4/11/2003,en,7000000,90,2.8,112,-0.134723333
77,20085825,FALSE,"[35, 18, 10749]",9688,Melinda and Melinda,6.433094,10/29/2004,en,0,100,6.3,135,-0.014072222
78,14859394,FALSE,[18],26149,Music of the Heart,4.008531,10/29/1999,en,27000000,124,6.3,52,0
79,10400000,FALSE,"[12, 18]",10339,Moby Dick,5.626089,6/27/1956,en,4500000,116,6.8,100,0
80,261603,FALSE,"[35, 10749]",21118,Waking Up in Reno,4.35156,12/13/2002,en,0,91,5.1,24,0.18122
81,29385320,FALSE,"[18, 10749]",4251,Veer-Zaara,5.00822,11/12/2004,hi,7000000,192,7.5,72,0
82,266665,FALSE,[18],11489,Rosetta,4.43268,5/23/1999,fr,0,95,7.2,56,0.160133333
83,136400000,FALSE,"[18, 10749]",9062,Love Story,11.560056,12/16/1970,en,2200000,99,6.6,127,0.053216667
84,738599701,FALSE,"[12, 28, 53, 878]",604,The Matrix Reloaded,20.218433,5/15/2003,en,150000000,138,6.7,3725,0.126946154
85,77516304,FALSE,"[35, 10749]",9778,Serendipity,9.439279,10/5/2001,en,28000000,90,6.7,571,0.3285
86,183345589,FALSE,"[12, 10751, 14]",267935,The BFG,28.01442,6/1/2016,en,140000000,120,6.1,1112,0
87,27500000,FALSE,[35],16406,Dick,6.183602,8/4/1999,en,13000000,94,5.7,68,0
