Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue,Na•ve Bayes Polarity Scores
Alone in the Dark,12142,"[28, 14, 27, 53]",6.64683,1/28/05,FALSE,en,179,3.1,96,20000000,10442808,-2.29995E-05
Bullet Boy,32566,"[28, 80, 18, 10769]",1.464457,9/15/04,FALSE,en,6,5.2,89,0,0,-8.60944E-06
Lucy,240832,"[28, 878]",48.800106,7/14/14,FALSE,en,6500,6.2,89,40000000,126546825,-1.16601E-05
One Magic Christmas,13380,"[10751, 14]",2.77475,11/22/85,FALSE,en,16,5.7,88,0,0,-1.54203E-05
The Fallen Ones,41540,"[28, 27, 53]",2.531295,5/14/05,FALSE,en,11,3.4,89,0,0,-2.38978E-05
Promise Me This,8269,"[10749, 18, 35]",3.601851,5/26/07,FALSE,sr,18,6.5,127,0,0,1.84053E-05
Where It's At,102491,[18],1.02087,5/7/69,FALSE,en,0,0,106,0,0,-1.05989E-05
Within the Rock,133714,"[878, 27]",1.166849,6/8/96,FALSE,en,2,4.5,88,0,0,-6.46314E-05
Brown Sugar,37964,"[35, 10749]",3.033906,10/5/02,FALSE,en,32,7,109,8000000,27362712,-2.14237E-05
Hollywood Hotel,43859,"[35, 10402, 10749]",1.094688,12/20/37,FALSE,en,1,5,109,0,0,3.2074E-06
Watching the Detectives,22100,"[35, 10749]",3.223554,5/1/07,FALSE,en,18,6.5,90,2000000,0,-1.14914E-05
The Rogue,225446,[18],1.000489,1/1/71,FALSE,bs,0,0,91,0,0,-8.1991E-06
Seven Pounds,11321,[18],7.81375,12/18/08,FALSE,en,2273,7.5,123,55000000,168167691,-8.99419E-06
Lipstick,59809,"[18, 53]",1.247092,4/2/76,FALSE,en,5,5.1,89,0,0,-4.29687E-05
Midnight Offerings,71377,"[27, 10770]",1.217268,2/27/81,FALSE,en,5,4.6,100,0,0,-2.7312E-05
Amber's Story,107986,"[18, 80]",1.626721,9/4/06,FALSE,en,3,5.7,85,0,0,-1.74751E-05
Arthur,13665,"[35, 18, 10749]",7.789407,7/17/81,FALSE,en,135,6.5,97,7000000,95461682,-2.3233E-05
Much Ado About Nothing,11971,"[18, 35, 10749]",9.472666,5/7/93,FALSE,en,206,7.2,111,8000000,0,-1.55968E-05
Young Catherine,75522,"[18, 36]",1.422626,1/1/91,FALSE,en,4,5,186,0,0,-5.8729E-06
The Angry Red Planet,6974,"[12, 878]",2.17473,11/23/59,FALSE,en,24,5.7,83,0,0,-1.8E-05
Stella Street,202587,[35],1.108963,1/26/04,FALSE,en,3,4.7,80,0,0,-8.8352E-06
Munchie Strikes Back,125077,"[14, 10751, 35]",1.619198,8/1/94,FALSE,en,2,3,0,0,0,-3.05722E-05
The Nada Gang,4790,[53],1.549419,3/21/74,FALSE,fr,4,6.3,132,0,0,-1.34228E-05
Trick of the Eye,279976,"[18, 10770]",1.116477,10/22/94,FALSE,en,0,0,95,0,0,-4.72723E-06
"Swing High, Swing Low",105551,"[18, 10749]",1.528732,3/12/37,FALSE,en,1,5,92,0,0,-6.63152E-06
1408,3021,"[27, 53]",10.572676,7/12/07,FALSE,en,1489,6.5,104,25000000,94679598,-1.14053E-05
The Screaming Skull,34078,"[53, 27]",1.539437,1/1/58,FALSE,en,14,4.1,68,0,0,-2.80512E-05
Island Prey,222092,"[18, 10749]",1.706356,6/15/05,FALSE,en,1,10,93,0,0,-1.04375E-05
This Is England,11798,"[18, 80]",3.316388,9/12/06,FALSE,en,396,7.4,101,2380000,8176544,-9.7252E-06
The Romance of Astrea and Celadon,45458,"[18, 10749]",2.225781,9/1/07,FALSE,fr,10,5.3,109,0,0,-1.02324E-05
Even Cowgirls Get the Blues,34444,"[37, 18, 35, 10749]",3.8754,5/13/94,FALSE,en,32,4.2,96,8000000,0,-3.82322E-05
Water Lilies,10818,"[18, 10749]",5.550105,5/17/07,FALSE,fr,59,6,85,0,0,-1.08458E-06
The Defender,26125,"[28, 53]",1.965573,12/20/04,FALSE,en,10,4.9,90,0,0,-2.47034E-05
Something Wicked This Way Comes,24808,"[14, 9648, 53]",3.73968,4/29/83,FALSE,en,38,6.6,95,19000000,5656087,-1.0474E-05
Revolver,10851,"[18, 53, 80, 9648]",7.529336,9/11/05,FALSE,en,450,6.3,115,0,0,-1.25187E-05
The Wayward Cloud,36253,"[10402, 35, 18, 10749]",3.711127,5/19/05,FALSE,zh,20,6.9,114,0,0,-2.05419E-05
Cape Fear,1598,"[80, 53]",7.496256,11/15/91,FALSE,en,751,7,128,35000000,182300000,-2.45695E-05
The Desert Trail,53624,"[28, 37]",2.205651,4/21/35,FALSE,en,10,4.3,54,0,0,-6.72415E-06
Jigsaw,298250,"[27, 53]",248.374543,10/20/17,FALSE,en,386,5.9,92,0,0,-1.22005E-05
Coffy,22021,"[53, 28, 12, 18, 80]",6.828455,6/13/73,FALSE,en,65,7.2,91,500000,0,-1.25369E-05
Torrente 2: Mission in Marbella,1284,"[35, 80]",3.997514,3/30/01,FALSE,es,45,6.2,99,0,0,-1.17581E-05
16 Years of Alcohol,29656,"[80, 18]",1.956161,8/14/03,FALSE,en,9,6.4,102,0,0,-2.12595E-05
Alice in Wonderland,12092,"[16, 10751, 14]",13.784223,7/3/51,FALSE,en,1686,7,75,3000000,572000000,-7.04621E-06
Wild Texas Wind,234944,"[10770, 18]",1,9/23/91,FALSE,en,0,0,96,0,0,-8.53279E-06
Against All Hope,272924,[],1.035409,1/1/82,FALSE,en,1,8,0,0,0,-2.09874E-05
What Have I Done to Deserve This?,8221,"[18, 35]",3.510825,10/24/84,FALSE,es,41,7.4,102,0,706685,-7.68003E-06
The Limey,10388,"[28, 80, 18, 9648, 53]",6.037814,5/15/99,FALSE,en,115,6.6,89,10000000,3193102,-6.13641E-05
Beauty Prize,56178,[18],1.140659,1/1/30,FALSE,fr,2,4,93,0,0,-8.82317E-07
Zulu Dawn,18061,"[12, 18, 36, 10752]",3.835859,5/14/79,FALSE,en,39,5.7,117,0,0,-1.49622E-05
Last Hurrah for Chivalry,13514,"[28, 18]",2.122767,11/22/79,FALSE,cn,7,7.4,106,0,0,2.4527E-05
Return to Boggy Creek,283885,"[18, 10751, 27]",1.408611,7/29/77,FALSE,en,1,1,85,0,0,-3.69545E-05
Halloween,948,"[27, 53]",11.949158,10/24/78,FALSE,en,1192,7.4,91,325000,70000000,9.22742E-06
Seachd: The Inaccessible Pinnacle,105204,[18],1.054971,3/28/07,FALSE,gd,1,8,100,0,0,1.10815E-05
For Love or Money,9024,"[35, 10749]",7.023222,10/1/93,FALSE,en,80,5.8,94,30000000,11146270,-1.35566E-05
The Thing About My Folks,23703,"[10751, 35, 18]",2.790865,1/1/05,FALSE,en,9,5.4,96,0,0,1.97464E-05
Brokedown Palace,17707,"[18, 53]",9.536457,8/13/99,FALSE,en,121,6.3,100,25000000,13000000,-1.49841E-05
The Tenants,26437,"[35, 18, 9648]",2.099335,1/1/05,FALSE,en,5,5.5,97,0,0,-9.37811E-06
Operation Dames,338013,"[18, 10749, 10752]",1.132794,3/1/59,FALSE,en,2,3.5,74,0,0,-2.85654E-05
Kiss Them for Me,52367,"[35, 10749, 10752]",1.690614,12/10/57,FALSE,en,10,4.9,105,0,0,-9.49632E-06
Gunga Din,24965,"[28, 12, 18, 10752]",4.28005,1/24/39,FALSE,en,42,6.6,117,0,0,-1.07229E-05
Maslin Beach,45032,"[35, 18, 10769, 10749]",1.078132,1/1/97,FALSE,en,2,3.5,80,0,0,-2.64446E-05
Spaced Invaders,34086,"[35, 10751, 878]",3.173724,4/27/90,FALSE,en,29,4.7,100,3000000,15369573,5.51466E-06
A Smile Like Yours,33657,"[35, 10749]",2.08868,8/27/97,FALSE,en,6,3.2,98,0,0,-2.87631E-05
Rafferty and the Gold Dust Twins,111149,[35],1.304252,2/2/75,FALSE,en,1,8,91,0,0,-5.6447E-05
Fire Over Afghanistan,72635,"[18, 28, 53]",1.002494,1/1/03,FALSE,en,0,0,0,0,0,-4.64076E-05
Oxford Blues,30231,"[35, 18]",2.791072,8/24/84,FALSE,en,14,5,97,0,0,-3.07094E-05
Detroit 9000,85837,"[18, 28, 80]",1.393437,8/1/73,FALSE,en,10,6,106,0,0,-2.40357E-05
Robot Jox,15618,"[878, 28]",3.498961,10/1/89,FALSE,en,32,5.3,85,10000000,0,-2.42433E-05
Hold Your Man,90957,"[18, 10749]",1.469467,7/7/33,FALSE,en,5,2.7,87,260000,0,1.34281E-05
It Runs in the Family,31459,"[35, 18, 10751]",3.235749,4/25/03,FALSE,en,8,5.2,109,0,0,-2.99435E-05
Attack of the Super Monsters,37809,[16],1.142338,1/1/83,FALSE,en,2,6.3,83,0,0,-2.1176E-05
Incoming Freshmen,264703,[35],1.035622,7/31/79,FALSE,en,1,6,84,0,0,-2.19471E-05
Deep Shock,58816,"[28, 12, 27, 878]",1.515452,9/17/03,FALSE,en,5,3.9,93,0,0,-4.34461E-05
Malice,2246,"[18, 80]",10.29221,9/29/93,FALSE,en,113,6,107,0,46405336,-1.06402E-05
Salsa,38909,"[18, 10402, 10749]",2.227635,7/9/88,FALSE,en,8,4.8,98,0,8892589,-4.21831E-05
The Brink's Job,24429,"[35, 80, 28, 18]",3.904399,12/8/78,FALSE,en,9,6.4,104,0,0,-2.08092E-05
Castle of Blood,28532,[27],2.370072,2/27/64,FALSE,en,15,7.3,87,0,0,6.58985E-07
The Pagemaster,15139,"[14, 878, 10751, 16]",7.198176,11/23/94,FALSE,en,192,6.2,80,27000000,13670688,-9.41988E-06
The Pacific and Eddy,313077,[],1.004706,8/19/08,FALSE,en,0,0,0,0,0,1.46585E-05
Raja Babu,211819,[],1.490357,8/3/94,FALSE,en,5,5.7,161,0,0,-1.76944E-05
The Death of Klinghoffer,141344,[],1.002699,1/24/03,FALSE,en,0,0,0,0,0,-8.8134E-06
Gabriel & Me,286369,[18],1.486114,11/1/01,FALSE,en,1,7,84,0,0,-4.02282E-06
Kalifornia,10909,"[53, 80]",6.426634,9/1/93,FALSE,en,224,6.5,117,9000000,2395231,1.45018E-05
An Inconvenient Truth,1781,[99],6.670329,1/24/06,FALSE,en,275,6.7,100,1000000,46243000,-1.51109E-05
Dalecarlians,12604,"[35, 18]",1.929828,11/25/04,FALSE,en,11,6.3,98,0,0,2.44655E-05
The Bedroom Window,39074,"[80, 53, 9648]",5.195135,1/16/87,FALSE,en,20,6.2,112,0,0,-1.80621E-05
