The Angry Red Planet,6974,"[12, 878]",2.17473,1959-11-23,False,en,24,5.7,83,0,0,0.0037583333333333357
Stella Street,202587,[35],1.108963,2004-01-26,False,en,3,4.7,80,0,0,0
Munchie Strikes Back,125077,"[14, 10751, 35]",1.619198,1994-08-01,False,en,2,3.0,0,0,0,0
The Nada Gang,4790,[53],1.549419,1974-03-21,False,fr,4,6.3,132,0,0,-0.3596
Trick of the Eye,279976,"[18, 10770]",1.116477,1994-10-22,False,en,0,0.0,95,0,0,0
"Swing High, Swing Low",105551,"[18, 10749]",1.528732,1937-03-12,False,en,1,5.0,92,0,0,0.19748000000000002
1408,3021,"[27, 53]",10.572676,2007-07-12,False,en,1489,6.5,104,25000000,94679598,0
The Screaming Skull,34078,"[53, 27]",1.539437,1958-01-01,False,en,14,4.1,68,0,0,-0.13065652173913042
Island Prey,222092,"[18, 10749]",1.706356,2005-06-15,False,en,1,10.0,93,0,0,0
This Is England,11798,"[18, 80]",3.316388,2006-09-12,False,en,396,7.4,101,2380000,8176544,0
The Romance of Astrea and Celadon,45458,"[18, 10749]",2.225781,2007-09-01,False,fr,10,5.3,109,0,0,0.15713333333333335
Even Cowgirls Get the Blues,34444,"[37, 18, 35, 10749]",3.8754,1994-05-13,False,en,32,4.2,96,8000000,0,0.17985
Water Lilies,10818,"[18, 10749]",5.550105,2007-05-17,False,fr,59,6.0,85,0,0,0
The Defender,26125,"[28, 53]",1.965573,2004-12-20,False,en,10,4.9,90,0,0,0
Something Wicked This Way Comes,24808,"[14, 9648, 53]",3.73968,1983-04-29,False,en,38,6.6,95,19000000,5656087,0.5937666666666667
Revolver,10851,"[18, 53, 80, 9648]",7.529336,2005-09-11,False,en,450,6.3,115,0,0,0.19648666666666667
The Wayward Cloud,36253,"[10402, 35, 18, 10749]",3.711127,2005-05-19,False,zh,20,6.9,114,0,0,-0.2824125
Cape Fear,1598,"[80, 53]",7.496256,1991-11-15,False,en,751,7.0,128,35000000,182300000,0.04491
The Desert Trail,53624,"[28, 37]",2.205651,1935-04-21,False,en,10,4.3,54,0,0,0.14958
Jigsaw,298250,"[27, 53]",248.374543,2017-10-20,False,en,386,5.9,92,0,0,0
Coffy,22021,"[53, 28, 12, 18, 80]",6.828455,1973-06-13,False,en,65,7.2,91,500000,0,0.3264333333333333
Torrente 2: Mission in Marbella,1284,"[35, 80]",3.997514,2001-03-30,False,es,45,6.2,99,0,0,0
16 Years of Alcohol,29656,"[80, 18]",1.956161,2003-08-14,False,en,9,6.4,102,0,0,0.005524999999999993
Alice in Wonderland,12092,"[16, 10751, 14]",13.784223,1951-07-03,False,en,1686,7.0,75,3000000,572000000,0
Wild Texas Wind,234944,"[10770, 18]",1,1991-09-23,False,en,0,0.0,96,0,0,0
Against All Hope,272924,[],1.035409,1982-01-01,False,en,1,8.0,0,0,0,-0.060071428571428574
What Have I Done to Deserve This?,8221,"[18, 35]",3.510825,1984-10-24,False,es,41,7.4,102,0,706685,0
The Limey,10388,"[28, 80, 18, 9648, 53]",6.037814,1999-05-15,False,en,115,6.6,89,10000000,3193102,0.49335
Beauty Prize,56178,[18],1.140659,1930-01-01,False,fr,2,4.0,93,0,0,0
Zulu Dawn,18061,"[12, 18, 36, 10752]",3.835859,1979-05-14,False,en,39,5.7,117,0,0,0
Last Hurrah for Chivalry,13514,"[28, 18]",2.122767,1979-11-22,False,cn,7,7.4,106,0,0,0
Return to Boggy Creek,283885,"[18, 10751, 27]",1.408611,1977-07-29,False,en,1,1.0,85,0,0,-0.179
Halloween,948,"[27, 53]",11.949158,1978-10-24,False,en,1192,7.4,91,325000,70000000,0.3457307692307693
Seachd: The Inaccessible Pinnacle,105204,[18],1.054971,2007-03-28,False,gd,1,8.0,100,0,0,0.3174
For Love or Money,9024,"[35, 10749]",7.023222,1993-10-01,False,en,80,5.8,94,30000000,11146270,0.9757
The Thing About My Folks,23703,"[10751, 35, 18]",2.790865,2005-01-01,False,en,9,5.4,96,0,0,0.08849230769230768
Brokedown Palace,17707,"[18, 53]",9.536457,1999-08-13,False,en,121,6.3,100,25000000,13000000,0
The Tenants,26437,"[35, 18, 9648]",2.099335,2005-01-01,False,en,5,5.5,97,0,0,-0.22785
Operation Dames,338013,"[18, 10749, 10752]",1.132794,1959-03-01,False,en,2,3.5,74,0,0,0
Kiss Them for Me,52367,"[35, 10749, 10752]",1.690614,1957-12-10,False,en,10,4.9,105,0,0,-0.07872222222222222
Gunga Din,24965,"[28, 12, 18, 10752]",4.28005,1939-01-24,False,en,42,6.6,117,0,0,0
Maslin Beach,45032,"[35, 18, 10769, 10749]",1.078132,1997-01-01,False,en,2,3.5,80,0,0,0.95
Spaced Invaders,34086,"[35, 10751, 878]",3.173724,1990-04-27,False,en,29,4.7,100,3000000,15369573,0.23659999999999998
A Smile Like Yours,33657,"[35, 10749]",2.08868,1997-08-27,False,en,6,3.2,98,0,0,0.3325
Rafferty and the Gold Dust Twins,111149,[35],1.304252,1975-02-02,False,en,1,8.0,91,0,0,0
Fire Over Afghanistan,72635,"[18, 28, 53]",1.002494,2003-01-01,False,en,0,0.0,0,0,0,-0.06614999999999999
Oxford Blues,30231,"[35, 18]",2.791072,1984-08-24,False,en,14,5.0,97,0,0,-0.1366
Detroit 9000,85837,"[18, 28, 80]",1.393437,1973-08-01,False,en,10,6.0,106,0,0,0
Robot Jox,15618,"[878, 28]",3.498961,1989-10-01,False,en,32,5.3,85,10000000,0,0
Hold Your Man,90957,"[18, 10749]",1.469467,1933-07-07,False,en,5,2.7,87,260000,0,0.23064285714285715
It Runs in the Family,31459,"[35, 18, 10751]",3.235749,2003-04-25,False,en,8,5.2,109,0,0,0.1266625
Attack of the Super Monsters,37809,[16],1.142338,1983-01-01,False,en,2,6.3,83,0,0,-0.21325
Incoming Freshmen,264703,[35],1.035622,1979-07-31,False,en,1,6.0,84,0,0,0.48195
Deep Shock,58816,"[28, 12, 27, 878]",1.515452,2003-09-17,False,en,5,3.9,93,0,0,0.118075
Malice,2246,"[18, 80]",10.29221,1993-09-29,False,en,113,6.0,107,0,46405336,-0.055366666666666675
Salsa,38909,"[18, 10402, 10749]",2.227635,1988-07-09,False,en,8,4.8,98,0,8892589,0
The Brink's Job,24429,"[35, 80, 28, 18]",3.904399,1978-12-08,False,en,9,6.4,104,0,0,0
Castle of Blood,28532,[27],2.370072,1964-02-27,False,en,15,7.3,87,0,0,0.3072105263157895
The Pagemaster,15139,"[14, 878, 10751, 16]",7.198176,1994-11-23,False,en,192,6.2,80,27000000,13670688,-0.17356
The Pacific and Eddy,313077,[],1.004706,2008-08-19,False,en,0,0.0,0,0,0,0.24705
Raja Babu,211819,[],1.490357,1994-08-03,False,en,5,5.7,161,0,0,0.8773
The Death of Klinghoffer,141344,[],1.002699,2003-01-24,False,en,0,0.0,0,0,0,0
Gabriel & Me,286369,[18],1.486114,2001-11-01,False,en,1,7.0,84,0,0,0.992
Kalifornia,10909,"[53, 80]",6.426634,1993-09-01,False,en,224,6.5,117,9000000,2395231,0.145225
An Inconvenient Truth,1781,[99],6.670329,2006-01-24,False,en,275,6.7,100,1000000,46243000,-0.07761333333333334
Dalecarlians,12604,"[35, 18]",1.929828,2004-11-25,False,en,11,6.3,98,0,0,-0.002266666666666676
The Bedroom Window,39074,"[80, 53, 9648]",5.195135,1987-01-16,False,en,20,6.2,112,0,0,0.2962666666666667
Carlito's Way: Rise to Power,12261,"[28, 12, 18, 53]",3.514267,2005-09-27,False,en,22,4.6,100,9000000,0,-0.06953333333333334
Mama's Boy,13167,"[35, 18, 10749]",3.661211,2007-12-14,False,en,27,4.3,93,0,0,-0.22647499999999998
Class of Nuke 'Em High,26554,"[27, 35, 878]",4.003697,1986-12-12,False,en,44,5.7,85,2000000,0,-0.06902857142857143
The Brain Machine,86939,"[18, 53, 878, 27]",1.205593,1977-01-01,False,en,2,3.3,85,0,0,0
Higher Learning,16295,"[10749, 18, 80]",4.783932,1995-01-11,False,en,53,6.4,127,0,38290723,-0.05773125
Stunt Rock,27805,"[28, 18, 10402]",1.109241,1978-01-01,False,en,3,4.3,86,0,0,0.7647
Phat Beach,92381,[35],1.724273,1996-08-02,False,en,8,5.4,89,0,0,0
The Human Tornado,32100,"[28, 35]",2.582124,1976-10-02,False,en,12,5.8,85,0,0,0.0727
Sky Captain and the World of Tomorrow,5137,"[9648, 28, 53, 878, 12]",5.885554,2004-09-17,False,en,472,5.7,107,70000000,57958696,-0.0892157894736842
Time of Her Life,257206,"[27, 9648, 10749]",1.215448,2006-03-03,False,en,6,6.0,96,100000,750000,-0.26356666666666667
East Palace West Palace,44322,[18],1.302834,1996-01-01,False,zh,3,8.3,90,0,0,0
Seventeen and Missing,220733,"[10770, 9648, 53]",1.612384,2007-02-03,False,en,1,4.0,90,0,0,0
A Beautiful Mind,453,"[18, 10749]",12.363865,2001-12-11,False,en,3318,7.7,135,60000000,313542341,0.11876
Rosenstrasse,6317,"[18, 36]",1.658125,2003-09-18,False,de,10,6.5,136,0,0,0
Hulchul,20364,"[35, 18, 10749]",2.337927,2004-11-26,False,en,13,6.2,168,0,0,-0.474
Cubbyhouse,74807,"[27, 53]",1.904989,2001-12-10,False,en,10,2.8,89,0,0,0
